Party,Won,Leading,Total,category
Aam Aadmi Party,0,1,1,others
AJSU Party,1,0,1,others
All India Anna Dravida Munnetra Kazhagam,0,2,2,nda
All India Majlis-E-Ittehadul Muslimeen,1,1,2,others
All India Trinamool Congress,7,15,22,others
All India United Democratic Front,0,1,1,others
Bahujan Samaj Party,4,6,10,others
Bharatiya Janata Party,139,164,303,nda
Biju Janata Dal,0,13,13,others
Communist Party of India,1,1,2,inc
Communist Party of India (Marxist),0,3,3,inc
Dravida Munnetra Kazhagam,7,16,23,inc
Indian National Congress,29,22,51,inc
Indian Union Muslim League,2,1,3,inc
Jammu & Kashmir National Conference,2,1,3,inc
Janata Dal (Secular),1,0,1,inc
Janata Dal (United),7,9,16,nda
Jharkhand Mukti Morcha,0,1,1,inc
Kerala Congress (M),1,0,1,inc
Lok Jan Shakti Party,3,3,6,others
Mizo National Front,1,0,1,nda
Naga Peoples Front,0,1,1,others
National People's Party,0,1,1,nda
Nationalist Congress Party,4,1,5,inc
Nationalist Democratic Progressive Party,0,1,1,nda
Revolutionary Socialist Party,0,1,1,inc
Samajwadi Party,1,4,5,mb
Shiromani Akali Dal,2,0,2,nda
Shivsena,8,10,18,nda
Sikkim Krantikari Morcha,0,1,1,others
Telangana Rashtra Samithi,6,3,9,others
