Actual Price,Discounted Price,Hotel Address,HotelName,ImageUrl,Rating,RatingCount
₹ 2275,₹ 934,"Bannerughatta Approach Road Layout, 4th T Block East, Tilak Nagar, Jayanagar, Bangalore",OYO 10521 GCK Suites,https://images.oyoroomscdn.com/uploads/hotel_image/17534/medium/8a98841ad8a1228d.jpg,4.4,3715
,,,,,,
₹ 1515,₹ 730,"subbanna garden, post, Hosur Rd, Ayappa Garden, Adugodi, Bangalore",OYO 26708 Sky Palace,https://www.oyorooms.com/images/transparent-c4a2b870062c2bb98c500bc1526c0498.png,3.6,19
₹ 1735,₹ 1301,"Shivaji Nagar, Bangalore",OYO 7558 Galaxy Comfort Inn,https://www.oyorooms.com/images/transparent-c4a2b870062c2bb98c500bc1526c0498.png,4.6,1535
₹ 3517,₹ 1399,"Vasanthapura Main Road Off Kanakpura Road, Bangalore",OYO Townhouse 047 Kanakpura Road,https://www.oyorooms.com/images/transparent-c4a2b870062c2bb98c500bc1526c0498.png,4.7,1636
₹ 1905,₹ 1213,"1st cross, model colony, Yeshwanthpur , Bangalore",OYO 14424 Saarang Forever,https://www.oyorooms.com/images/transparent-c4a2b870062c2bb98c500bc1526c0498.png,4.5,1400
₹ 2032,₹ 1524,"Devarabisanahalli, Bellandur, Bangalore",OYO 16760 Blueberry,https://www.oyorooms.com/images/transparent-c4a2b870062c2bb98c500bc1526c0498.png,4.4,1264
₹ 1601,₹ 1201,"Sri Manjunath Arcade, Govinayakanahalli, Kumarswamy Layout, Opp. Dayanand Sagar College of Engineering, Bangalore",OYO 30525 Dwarka Grand,https://www.oyorooms.com/images/transparent-c4a2b870062c2bb98c500bc1526c0498.png,,
₹ 1452,₹ 646,"16th 'A' main road, 1st stage, 1st Phase, Mathikere main road, Bangalore",OYO 23030 Hotel Gtv Comforts,https://www.oyorooms.com/images/transparent-c4a2b870062c2bb98c500bc1526c0498.png,4.6,518
₹ 2028,₹ 999,"Near Wilson Garden, Bangalore",OYO 8476 Garden Comfort,https://www.oyorooms.com/images/transparent-c4a2b870062c2bb98c500bc1526c0498.png,4.7,971
₹ 1854,₹ 1390,"Green Glyen Layout, Behind Salarpuria Soft Zone, Outer Ring Rd, Bellandur, Bangalore",OYO Flagship 5360 Bellandur Outer ring road,https://www.oyorooms.com/images/transparent-c4a2b870062c2bb98c500bc1526c0498.png,4.2,2043
₹ 1458,₹ 713,"4th Main, 1st Cross, Gandhi Nagar, Yelahanka, Bangalore",OYO 29020 Vm Comfort,https://images.oyoroomscdn.com/uploads/hotel_image/49977/medium/918af1abbb20bdfb.jpg,,
₹ 2093,₹ 1570,"SC Road, Gandhi Nagar, Bengaluru, Bangalore",Capital O 30373 Himalaya By Monarch,https://images.oyoroomscdn.com/uploads/hotel_image/51609/medium/8ca9c12e07807b03.jpg,,
₹ 1928,₹ 1225,"Gandhi Nagar, Bangalore",OYO 10534 Hotel Kanishka,https://www.oyorooms.com/images/transparent-c4a2b870062c2bb98c500bc1526c0498.png,4.2,5373
₹ 1409,₹ 713,"Arkere main road, next to RNS motors , Bannerghatta Road, Bangalore",OYO 28067 Shree Comforts,https://www.oyorooms.com/images/transparent-c4a2b870062c2bb98c500bc1526c0498.png,4.5,18
₹ 1747,₹ 713,"Near Vidyaranyapura Main Road, Vidyaranyapura, Bangalore",OYO 22940 Sri Durga Residency,https://www.oyorooms.com/images/transparent-c4a2b870062c2bb98c500bc1526c0498.png,4.6,573
₹ 1738,₹ 735,"Padmavati Kalyan Mantap Arch Road, Remco Bhel Layout, Kenchenhalli, RR Nagar, Bangalore",OYO 28285 Maruthi- Luxury Rooms,https://www.oyorooms.com/images/transparent-c4a2b870062c2bb98c500bc1526c0498.png,4.1,57
₹ 1951,₹ 999,"Lane 11, Adarsh Palm Retreat, Bellandur, Bengaluru, Bangalore",OYO 16803 Hotel Blueberry,https://www.oyorooms.com/images/transparent-c4a2b870062c2bb98c500bc1526c0498.png,4.4,1452
₹ 2417,₹ 999,"Near H.A.L Airport Road, Bangalore",OYO 9633 Hotel Srinidhi Residency,https://www.oyorooms.com/images/transparent-c4a2b870062c2bb98c500bc1526c0498.png,4.7,1571
₹ 2479,₹ 1249,"Koramangala, Bangalore",OYO 345 Hotel Red Mount Aquilla,https://www.oyorooms.com/images/transparent-c4a2b870062c2bb98c500bc1526c0498.png,4.5,1304
₹ 2187,₹ 713,"2, Nagashetty Halli, Devinagar, Bengaluru, Bangalore",OYO 16473 Ring View Hotels,https://www.oyorooms.com/images/transparent-c4a2b870062c2bb98c500bc1526c0498.png,4.7,1568
