Candidate,Party,State,constituency
Shri Kailash Chaudhry(Won),Dr. Banshilal Mahto (BJP),Rajasthan,Barmer
Shri Gajendra Singh Shekhawat(Won),Dr. Banshilal Mahto (BJP),Rajasthan,Jodhpur
Shri Arjun Ram Meghwal(Won),Dr. Banshilal Mahto (BJP),Rajasthan,Bikaner
Shri Nihal Chand Chauhan(Won),Dr. Banshilal Mahto (BJP),Rajasthan,Ganganagar
Rajveer Singh(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Etah
"Shri Rahul Kaswan, MP(Won)",Dr. Banshilal Mahto (BJP),Rajasthan,Churu
Shri Narendra Khinchal(Won),Dr. Banshilal Mahto (BJP),Rajasthan,Jhunjhunu
Shri Sumedhanand Saraswati(Won),Dr. Banshilal Mahto (BJP),Rajasthan,Sikar
Hanuman Beniwal(Won),Dr. Banshilal Mahto (BJP),Rajasthan,Nagaur
Smt Diya Kumari(Won),Dr. Banshilal Mahto (BJP),Rajasthan,Rajsamand
Shri P P Chaudhary(Won),Dr. Banshilal Mahto (BJP),Rajasthan,Pali
Shri Devji Mansingram Patel(Won),Dr. Banshilal Mahto (BJP),Rajasthan,Jalore
Shri Arjunlal Meena(Won),Dr. Banshilal Mahto (BJP),Rajasthan,Udaipur
GS Damor(Leading),Dr. Banshilal Mahto (BJP),Madhya Pradesh,Ratlam
Shri Kanak Mal Katara(Won),Dr. Banshilal Mahto (BJP),Rajasthan,Banswara
Shri C. P. Joshi(Won),Dr. Banshilal Mahto (BJP),Rajasthan,Chittorgarh
Smt Diya Kumari(Won),Dr. Banshilal Mahto (BJP),Rajasthan,Rajsamand
Shri Subhash Chandra Baheria(Won),Dr. Banshilal Mahto (BJP),Rajasthan,Bhilwara
Shri Sukhbir Singh Jaunapuria(Won),Dr. Banshilal Mahto (BJP),Rajasthan,Tonk-Sawai Madhopur
Shri Om Birla(Won),Dr. Banshilal Mahto (BJP),Rajasthan,Kota
Shri C. P. Joshi(Won),Dr. Banshilal Mahto (BJP),Rajasthan,Chittorgarh
Shri Dushyant Singh(Won),Dr. Banshilal Mahto (BJP),Rajasthan,Jhalawar-Baran
Shri Narendra Singh Tomar(Leading),Dr. Banshilal Mahto (BJP),Madhya Pradesh,Morena
Shri Manoj Rajuriya(Won),Dr. Banshilal Mahto (BJP),Rajasthan,Karauli-Dholpur
Smt Ranjeeta Kohli(Won),Dr. Banshilal Mahto (BJP),Rajasthan,Bharatpur
Jas Kaur Meena(Won),Dr. Banshilal Mahto (BJP),Rajasthan,Dausa
Col. Rajyavardhan Singh Rathore(Leading),Dr. Banshilal Mahto (BJP),Rajasthan,Jaipur Rural
Santosh Kumar Gangwar(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Bareilly
Varun Gandhi(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Pilibhit
Shri Krishan Pal Gurjar(Leading),Dr. Banshilal Mahto (BJP),Haryana,Faridabad
Shri Balak Nath(Won),Dr. Banshilal Mahto (BJP),Rajasthan,Alwar
Smt Ranjeeta Kohli(Won),Dr. Banshilal Mahto (BJP),Rajasthan,Bharatpur
Shri Balak Nath(Won),Dr. Banshilal Mahto (BJP),Rajasthan,Alwar
Shri Sumedhanand Saraswati(Won),Dr. Banshilal Mahto (BJP),Rajasthan,Sikar
Col. Rajyavardhan Singh Rathore(Leading),Dr. Banshilal Mahto (BJP),Rajasthan,Jaipur Rural
Shri Sumedhanand Saraswati(Won),Dr. Banshilal Mahto (BJP),Rajasthan,Sikar
Shri Narendra Khinchal(Won),Dr. Banshilal Mahto (BJP),Rajasthan,Jhunjhunu
"Shri Rahul Kaswan, MP(Won)",Dr. Banshilal Mahto (BJP),Rajasthan,Churu
Shri Nihal Chand Chauhan(Won),Dr. Banshilal Mahto (BJP),Rajasthan,Ganganagar
Hanuman Beniwal(Won),Dr. Banshilal Mahto (BJP),Rajasthan,Nagaur
Shri Dharmvir Singh(Leading),Dr. Banshilal Mahto (BJP),Haryana,Bhiwani-Mahendragarh
Shri Ramswroop Sharma(Won),Dr. Banshilal Mahto (BJP),Himachal Pradesh,Mandi
Preneet Kaur(Won),Dr. Banshilal Mahto (BJP),Punjab,Patiala
Mohd. Sadique(Leading),Dr. Banshilal Mahto (BJP),Punjab,Faridkot
Jasbir Singh Gill (Dimpa)(Won),Dr. Banshilal Mahto (BJP),Punjab,Khadoor Sahib
Gurjit Singh Aujla(Won),Dr. Banshilal Mahto (BJP),Punjab,Amritsar
Sukhbir Singh Badal(Won),Dr. Banshilal Mahto (BJP),Punjab,Firozpur
Smt Suneeta Duggal(Leading),Dr. Banshilal Mahto (BJP),Haryana,Sirsa
Brijendra Singh(Won),Dr. Banshilal Mahto (BJP),Haryana,Hisar
Shri Dharmvir Singh(Leading),Dr. Banshilal Mahto (BJP),Haryana,Bhiwani-Mahendragarh
Arvind Sharma(Leading),Dr. Banshilal Mahto (BJP),Haryana,Rohtak
Shri Rao Indrajeet Singh(Leading),Dr. Banshilal Mahto (BJP),Haryana,Gurgaon
Shri Krishan Pal Gurjar(Leading),Dr. Banshilal Mahto (BJP),Haryana,Faridabad
Sh. Ramesh Bidhuri(Leading),Dr. Banshilal Mahto (BJP),Delhi,South Delhi
Meenakshi(Leading),Dr. Banshilal Mahto (BJP),Delhi,New Delhi
Sh. Gautam Gambhir(Won),Dr. Banshilal Mahto (BJP),Delhi,East Delhi
Sh. Manoj Tiwari(Leading),Dr. Banshilal Mahto (BJP),Delhi,North East Delhi
Dr. Harshvardhan(Leading),Dr. Banshilal Mahto (BJP),Delhi,Chandni Chowk
Shri Hansraj Hans(Leading),Dr. Banshilal Mahto (BJP),Delhi,North West Delhi
Dr. Harshvardhan(Leading),Dr. Banshilal Mahto (BJP),Delhi,Chandni Chowk
Shri Hansraj Hans(Leading),Dr. Banshilal Mahto (BJP),Delhi,North West Delhi
Sh. Pravesh Verma(Leading),Dr. Banshilal Mahto (BJP),Delhi,West Delhi
Korba,Dr. Banshilal Mahto (BJP),Haryana,Sonipat
Shri Sanjay Bhatiya(Leading),Dr. Banshilal Mahto (BJP),Haryana,Karnal
Shri Nayab Singh Saini(Leading),Dr. Banshilal Mahto (BJP),Haryana,Kurukshetra
Shri Ratan Lal Katariya(Leading),Dr. Banshilal Mahto (BJP),Haryana,Ambala
Smt. Kirron Kher(Leading),Dr. Banshilal Mahto (BJP),Chandigarh,Chandigarh
Manish Tewari(Won),Dr. Banshilal Mahto (BJP),Punjab,Anandpur Sahib
Dr. Amar Singh(Leading),Dr. Banshilal Mahto (BJP),Punjab,Fatehgarh Sahib
Preneet Kaur(Won),Dr. Banshilal Mahto (BJP),Punjab,Patiala
Dr. Amar Singh(Leading),Dr. Banshilal Mahto (BJP),Punjab,Fatehgarh Sahib
Preneet Kaur(Won),Dr. Banshilal Mahto (BJP),Punjab,Patiala
Bhagwant Mann(Leading),Dr. Banshilal Mahto (BJP),Punjab,Sangrur
Dr. Amar Singh(Leading),Dr. Banshilal Mahto (BJP),Punjab,Fatehgarh Sahib
Ravneet Singh Bittu(Won),Dr. Banshilal Mahto (BJP),Punjab,Ludhiana
Santokh Singh Shaudhary(Won),Dr. Banshilal Mahto (BJP),Punjab,Jalandhar
Sh. Som Prakash(Won),Dr. Banshilal Mahto (BJP),Punjab,Hoshiarpur
Sunny Deol(Leading),Dr. Banshilal Mahto (BJP),Punjab,Gurdaspur
