Party,category
Indian National Congress,inc
Nationalist Congress Party,inc
Rashtriya Janata Dal,inc
Dravida Munnetra Kazhagam,inc
Rashtriya Lok Samta Party,inc
Indian Union Muslim League,inc
Jharkhand Mukti Morcha,inc
Janata Dal (Secular),inc
Apna Dal,inc
Jammu & Kashmir National Conference,inc
Kerala Congress (M),inc
Rashtriya Lok Dal,inc
Revolutionary Socialist Party,inc
Swabhimani Paksha,inc
Bharatiya Tribal Party,inc
Jharkhand Vikas Morcha (Prajatantrik),inc
Hindustani Awam Morcha,inc
Kerala Congress (Jacob),inc
Marumalarchi Dravida Munnetra Kazhagam,inc
Kongunadu Makkal Desia Katchi,inc
Communist Marxist Party (John),inc
Peace Party of India,inc
Mahan Dal,inc
Karnataka Pragnyavantha Janatha Party,inc
Communist Party of India,inc
Telangana Jana Samithi,inc
Communist Party of India (Marxist),inc
Loktantrik Janata Dal,inc
Indhiya Jananayaga Katchi,inc
Viduthalai Chiruthaigal Katchi,inc
Indigenous Nationalist Party of Twipra,inc
Communist Party of India (Marxist–Leninist) Liberation,inc
Bahujan Vikas Aaghadi,inc
Vikassheel Insaan Party,inc
Jan Adhikar Party,inc
Yuva Swabhiman Party,inc
