Party,category
Bharatiya Janata Party,nda
All India Anna Dravida Munnetra Kazhagam,nda
Shivsena,nda
Janata Dal (United),nda
Lok Janshakti Party,nda
Shiromani Akali Dal,nda
Apna Dal (Sonelal),nda
Pattali Makkal Katchi,nda
Sikkim Democratic Front,nda
Republican Party of India (A),nda
Bodoland People's Front,nda
Nationalist Democratic Progressive Party,nda
All India N.R. Congress,nda
Rashtriya Loktantrik Party,nda
National People's Party,nda
Mizo National Front,nda
Rashtriya Samaj Paksha,nda
Shiv Sangram,nda
Maharashtrawadi Gomantak Party,nda
Goa Forward Party,nda
All Jharkhand Students Union,nda
Indigenous People's Front of Tripura,nda
Manipur Peoples Party,nda
Kamtapur People's Party,nda
United Democratic Party,nda
Hill State People's Democratic Party,nda
Desiya Murpokku Dravida Kazhagam,nda
Bharath Dharma Jana Sena,nda
Kerala Kamaraj Congress,nda
Praja Socialist Party,nda
Democratic Labor Party (Kerala),nda
Tamil Maanila Congress,nda
Puthiya Tamilagam,nda
Kerala Congress (Nationalist),nda
People's Democratic Front,nda
Kerala Congress (Thomas),nda
Asom Gana Parishad,nda
Nishad Party,nda
Kerala Janapaksham (Secular),nda
Rayat Kranti Sanghatana,nda
Puthiya Needhi Katchi,nda
